//X Y Z Point_Source_ID Scan_Angle_Rank Flightline_Edge Number_of_Returns Return_Number Time Intensity Classification
236461.15997314 548271.18000031 16.64999962 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.618979 174.000000 1.000000
236461.47998047 548270.88999939 18.53000069 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.618982 85.000000 1.000000
236461.35998535 548270.88999939 16.82999992 168.000000 2.000000 0.000000 2.000000 2.000000 234371016.618982 23.000000 1.000000
236461.67999268 548270.61000061 18.62999916 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.618984 63.000000 1.000000
236461.58001709 548270.61000061 17.06999969 168.000000 2.000000 0.000000 2.000000 2.000000 234371016.618984 24.000000 1.000000
236461.78997803 548270.30999756 17.05999947 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.618987 156.000000 1.000000
236461.96002197 548270.04000092 16.85000038 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.618990 157.000000 1.000000
236462.15002441 548269.73999786 16.61000061 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.618992 168.000000 1.000000
236463.53997803 548269.23000336 32.29000092 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.618997 111.000000 1.000000
236463.71997070 548268.98000336 32.31000137 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.619000 29.000000 1.000000
236463.92999268 548268.68000031 32.34999847 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.619003 23.000000 1.000000
236464.11999512 548268.40000153 32.33000183 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.619005 25.000000 1.000000
236464.30999756 548268.12999725 32.36000061 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.619007 32.000000 1.000000
236464.51000977 548267.84999847 32.38999939 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.619010 136.000000 1.000000
236464.70001221 548267.58000183 32.43000031 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.619013 29.000000 1.000000
236464.88000488 548267.31999969 32.47000122 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.619015 22.000000 1.000000
236465.07000732 548267.05000305 32.52000046 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.619018 31.000000 1.000000
236465.26000977 548266.77999878 32.54999924 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.619021 33.000000 1.000000
236465.46997070 548266.48000336 32.61999893 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.619023 55.000000 1.000000
236465.65002441 548266.23000336 32.68999863 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.619025 38.000000 1.000000
236465.85998535 548265.93000031 32.74000168 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.619028 29.000000 1.000000
236466.03997803 548265.66999817 32.83000183 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.619031 38.000000 1.000000
236466.23999023 548265.41000366 32.90000153 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.619034 65.000000 1.000000
236466.41998291 548265.15000153 33.00000000 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.619036 35.000000 1.000000
236466.63000488 548264.86000061 33.06999969 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.619038 35.000000 1.000000
236466.83001709 548264.58000183 33.18999863 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.619041 53.000000 1.000000
236467.02001953 548264.30999756 33.29999924 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.619044 29.000000 1.000000
